Alternative_Discussed__c,Followups__c,Stop_Work__c,Thank__c,Additional_Comments__c,Is_this_an_office_or_field_observation__c,Location__c,Observation_Time__c
false,false,false,true,"",Office,Chervonohryhorivka,2018-12-30T20:37:12Z
true,true,false,false,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Field,Verkhniy Yasenov,2018-03-27T02:51:58Z
false,true,false,false,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Office,Turiys’k,2019-01-15T23:20:46Z
false,false,false,true,"",Office,Longquan,2018-09-07T23:49:27Z
true,false,true,true,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Office,Uppsala,2018-06-11T15:36:09Z
false,false,false,false,"",Office,Hino,2018-09-10T18:27:43Z
true,true,false,false,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Office,Hongyang,2019-01-31T05:23:04Z
false,false,true,false,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Office,Jatobá,2018-04-21T03:37:59Z
false,true,true,false,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Office,Lewolang,2018-09-19T05:01:58Z
false,false,true,true,"",Office,Santa Rita,2019-01-26T09:36:48Z
true,false,true,false,"",Office,Penghu,2018-05-21T08:02:22Z
false,true,true,false,"",Field,San Juan Bautista,2018-11-24T10:46:54Z
false,true,true,true,"",Office,Yingshouyingzi,2018-08-20T22:58:09Z
true,false,true,false,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Office,Verkhnyaya Khava,2018-08-02T16:58:18Z
true,true,true,false,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Office,Bejuco,2018-12-14T21:18:23Z
true,false,true,false,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Field,Nakusp,2018-04-16T10:25:15Z
false,false,true,false,"",Field,Solina,2018-08-05T12:23:52Z
false,false,true,false,"",Office,Talcahuano,2018-12-09T05:33:17Z
false,true,false,true,"",Office,Behbahān,2018-05-24T05:24:24Z
false,true,true,true,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Field,Aytos,2019-01-25T09:12:27Z
false,false,true,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Field,Strel'na,2019-02-14T10:03:34Z
true,false,true,true,"",Field,Leyuan,2018-10-26T17:51:57Z
false,false,true,false,"",Office,Paris 03,2019-02-13T00:09:12Z
true,false,true,true,"",Office,Ostrowsko,2018-02-24T20:21:19Z
false,true,true,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Office,Talcahuano,2018-03-21T09:38:18Z
true,true,true,false,In congue. Etiam justo. Etiam pretium iaculis justo.,Office,Vetlanda,2018-04-08T00:20:59Z
false,false,true,false,"",Office,Glagahan,2018-11-19T22:42:37Z
false,true,true,false,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Office,Envigado,2018-06-07T05:38:27Z
false,true,false,true,"",Field,Kotlyarevskaya,2018-06-09T01:43:21Z
true,false,false,true,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Office,Vila Franca,2018-04-29T08:06:55Z
false,true,true,false,"",Field,Nekhayevskiy,2018-11-19T04:11:39Z
false,false,false,false,"",Field,Pryazha,2018-09-24T21:09:15Z
false,false,true,false,"",Field,Yên Lập,2018-04-19T19:00:38Z
false,false,true,false,"",Field,Bayt ‘Adhāqah,2018-06-23T05:57:20Z
false,false,false,true,"",Field,Tržič,2018-09-28T00:43:55Z
true,false,true,true,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Field,Xushan,2018-05-29T04:39:35Z
false,false,true,false,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Office,Wuquan,2018-03-22T19:25:08Z
false,true,true,false,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Office,Manyana,2018-09-27T11:18:43Z
true,false,false,true,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Field,Shidu,2018-11-14T11:55:38Z
false,true,false,false,"",Office,Van Nuys,2018-03-12T22:13:11Z
false,false,true,false,Fusce consequat. Nulla nisl. Nunc nisl.,Office,Lavezares,2019-01-24T00:53:08Z
true,false,true,true,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Field,Naurskaya,2018-03-27T05:24:27Z
false,false,false,true,"",Field,Barrancas,2019-01-09T14:52:29Z
true,false,false,false,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Field,Priekulė,2018-11-23T12:50:15Z
true,false,false,true,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Office,Riangderi,2018-04-09T06:02:58Z
false,false,true,false,Fusce consequat. Nulla nisl. Nunc nisl.,Office,Cisiih,2018-05-31T20:52:22Z
false,true,true,false,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Office,Baška Voda,2019-01-30T20:01:32Z
false,true,true,true,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Field,Qobu,2018-09-26T21:53:24Z
false,true,true,true,"",Office,Uji,2018-02-27T08:46:11Z
true,false,true,true,"",Field,Numazu,2018-10-17T07:17:46Z
false,false,false,true,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Field,Katyuzhanka,2018-04-01T00:23:07Z
false,true,false,true,"",Field,Huaqiao,2018-10-16T06:59:26Z
false,false,false,true,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Office,Takanosu,2018-03-11T16:28:13Z
false,false,false,true,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Field,Sukosari,2018-03-07T01:06:34Z
true,true,false,false,Fusce consequat. Nulla nisl. Nunc nisl.,Field,Linghu,2018-10-16T23:43:59Z
true,true,true,false,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Field,Golina,2018-11-04T23:46:43Z
true,false,false,false,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Field,Luoshan,2018-05-03T04:59:59Z
true,true,true,false,"",Office,Chantal,2018-02-23T21:20:57Z
true,true,true,false,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Field,Xiaoqi,2018-12-06T04:02:03Z
false,false,false,true,"",Office,Mangga Dua,2018-02-22T20:39:41Z
false,false,true,true,"",Office,An Nāşirīyah,2018-10-06T07:04:58Z
false,false,true,false,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Field,Arbaoua,2018-07-01T21:44:47Z
false,true,true,true,"",Office,Partenit,2018-02-25T20:45:44Z
true,true,false,false,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Field,Dashev,2019-01-29T13:36:55Z
true,true,false,true,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Field,Baie-D'Urfé,2018-05-03T21:20:56Z
false,false,false,false,"",Office,Negara,2018-12-10T01:37:35Z
false,false,false,false,"",Field,Pogorzyce,2018-09-30T06:35:56Z
true,true,false,true,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Office,Suugaant,2018-08-05T13:29:03Z
false,false,false,true,"",Office,El Colorado,2018-07-31T22:29:57Z
true,true,false,false,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Office,São Sebastião do Caí,2018-11-24T21:34:07Z
false,true,true,false,"",Office,Seltjarnarnes,2018-09-22T00:39:09Z
false,true,false,true,"",Office,Rochester,2018-09-15T06:02:23Z
true,false,false,true,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Field,Lionel Town,2018-11-24T18:47:49Z
true,false,true,true,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Field,Vodstroy,2019-01-27T17:54:02Z
false,false,false,false,"",Office,Woro,2018-12-25T21:32:29Z
true,false,true,false,"",Field,Mališevo,2018-07-15T02:59:49Z
false,true,true,false,"",Office,Río Bueno,2018-04-09T20:28:33Z
true,true,false,true,"",Office,Krajan Dua Sumbersari,2018-03-16T03:58:33Z
false,true,true,false,"",Field,Tola,2018-07-10T07:20:43Z
true,true,false,false,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Office,Rimouski,2018-07-30T23:54:06Z
true,true,false,true,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Office,Petrolina,2018-03-15T21:41:42Z
false,false,true,false,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Office,Yunxiang,2018-12-09T21:25:04Z
false,false,false,true,"",Office,Puan,2018-08-14T00:05:19Z
true,true,false,false,"",Office,Kototujuh,2018-12-01T07:09:19Z
true,false,true,true,"",Office,Koło,2019-02-15T05:19:18Z
false,false,true,true,"",Office,Balally,2019-02-06T22:49:30Z
false,false,false,false,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Field,Masu,2018-04-26T08:57:51Z
true,false,true,true,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Office,Gubkinskiy,2018-03-23T15:23:37Z
true,true,true,false,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Field,Yitang,2018-04-23T18:08:21Z
true,false,true,false,"",Field,San Fernando,2018-06-24T21:26:29Z
false,false,true,true,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Office,Walakeri,2018-12-15T07:49:13Z
false,false,true,true,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Office,Bāqim as Sūq,2018-03-26T17:24:10Z
false,false,false,true,"",Field,Sukakarya,2019-01-22T00:08:51Z
true,true,true,true,"",Field,Donskoye,2018-04-26T18:16:18Z
true,true,false,true,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Field,Lijia,2019-01-29T15:15:22Z
false,false,false,true,"",Office,Aranhas,2018-04-18T04:59:29Z
false,true,false,false,"",Field,Kowang Utara,2018-03-23T10:15:12Z
false,true,false,false,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Office,Mayantoc,2018-10-10T18:14:43Z
true,false,true,false,"",Office,Kalpin,2018-12-28T00:15:19Z
true,false,false,false,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Office,Farrokh Shahr,2018-03-09T11:04:13Z
true,true,true,true,"",Field,El Real,2018-02-21T20:39:58Z
true,false,true,false,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Office,Mezhevoy,2019-01-28T11:54:41Z
true,false,true,false,"",Field,Cibunar,2019-02-18T13:20:29Z
true,true,false,true,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Office,Tangzhuang,2018-08-29T13:23:18Z
true,false,false,true,"",Office,Xilinji,2018-07-29T10:26:35Z
true,false,false,false,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Office,Samagaltay,2018-12-25T12:02:56Z
true,true,false,true,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Field,Suai,2018-09-09T14:40:33Z
true,false,false,false,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Office,Tierra Blanca,2018-11-23T06:50:51Z
false,false,false,false,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Office,Mhlume,2018-09-19T21:49:38Z
true,false,false,false,"",Office,Götene,2018-09-14T08:09:10Z
true,true,true,false,In congue. Etiam justo. Etiam pretium iaculis justo.,Field,Ciudad Bolívar,2018-05-13T13:57:51Z
true,true,false,false,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Office,Hongqiao,2018-05-31T22:25:01Z
true,true,false,true,Fusce consequat. Nulla nisl. Nunc nisl.,Field,Rungis,2018-06-12T01:21:31Z
true,false,true,false,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Field,Kuncen,2018-09-30T19:45:33Z
true,false,true,true,"",Office,Sotnikovskoye,2018-04-09T10:19:08Z
false,false,true,false,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Field,Tanabi,2018-12-27T05:14:02Z
true,false,true,false,"",Field,Jindaoxia,2018-03-07T14:15:04Z
false,true,true,false,"",Field,Daba,2018-12-30T01:42:52Z
true,false,true,false,"",Field,Candelária,2018-06-06T05:15:26Z
true,false,true,false,"",Office,Skopje,2018-10-10T05:39:58Z
true,true,true,true,"",Office,Dijon,2018-06-17T21:36:46Z
false,true,true,false,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Field,Mboto,2018-11-03T10:39:52Z
true,false,true,true,"",Office,Ferraz de Vasconcelos,2018-04-09T14:16:43Z
false,true,false,true,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Office,Kidodi,2018-09-15T01:04:48Z
true,true,true,true,"",Field,Fushun,2018-03-01T18:22:34Z
true,true,false,false,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Office,Meaux,2018-06-22T14:53:59Z
false,false,false,false,"",Field,Athlone,2018-10-07T15:03:48Z
true,false,false,true,"",Office,Xinsheng,2018-04-18T00:53:25Z
true,true,true,false,In congue. Etiam justo. Etiam pretium iaculis justo.,Field,Maindang,2019-01-14T11:06:50Z
true,true,false,true,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Field,Maisí,2019-02-15T08:09:51Z
true,false,true,true,"",Field,Konārak,2018-06-24T14:05:08Z
false,false,false,false,"",Office,Moncada,2018-07-19T06:49:13Z
false,true,true,false,"",Office,Ponce,2018-08-20T14:09:03Z
true,true,false,true,"",Field,Khok Sung,2018-11-24T14:48:57Z
true,false,true,true,"",Office,Al Bāriqīyah,2018-03-17T08:48:49Z
false,false,false,false,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Office,Danao,2018-12-07T04:44:06Z
true,false,true,false,"",Field,Kasba Tadla,2019-01-04T22:56:53Z
true,false,true,true,"",Field,Oyama,2018-07-10T02:59:49Z
false,false,true,true,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Office,San Miguel,2018-05-11T09:37:36Z
false,true,true,true,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Office,Balidian,2018-03-15T21:44:35Z
true,false,true,true,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Field,Krasnoarmiys’k,2018-11-10T13:38:46Z
true,true,false,true,"",Office,Karpushikha,2019-01-02T16:18:12Z
false,true,false,true,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Field,Knoxville,2018-11-11T10:18:48Z
false,false,true,false,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Office,Tuburan,2018-11-06T09:19:14Z
true,true,false,true,"",Office,Guyang,2018-06-23T05:55:13Z
false,false,false,false,"",Field,Taldykorgan,2018-08-09T12:31:41Z
true,false,false,true,"",Field,Briceni,2019-01-10T02:09:22Z
true,true,false,true,"",Office,Kasba Tadla,2018-03-23T23:02:36Z
true,true,true,false,"",Office,Erie,2018-10-30T03:39:50Z
true,false,false,false,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Field,Bununu Dass,2018-04-01T08:36:21Z
true,true,true,false,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Office,Jevremovac,2018-03-02T06:47:06Z
false,false,true,false,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Field,Dunleer,2018-05-18T14:15:41Z
true,false,false,true,"",Field,Ila Orangun,2019-01-01T19:41:39Z
true,false,true,false,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Office,Jiangduo,2018-04-25T14:08:30Z
true,true,true,true,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Office,Íasmos,2019-02-16T18:59:18Z
false,false,false,true,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Office,Genzi,2018-03-16T07:21:53Z
false,false,false,false,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Field,Gunungkencana,2018-11-20T12:04:31Z
false,true,true,false,"",Field,Banjar Laing,2018-09-01T04:05:55Z
true,true,false,false,"",Field,Hoçisht,2018-03-13T01:50:00Z
false,false,true,false,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Field,Al Ḩarf,2019-01-11T11:41:40Z
false,true,true,false,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Office,Brändö,2018-09-19T12:16:21Z
true,true,true,true,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Field,Lachute,2018-09-08T06:57:06Z
false,true,true,false,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Office,Tulu Bolo,2018-09-24T05:43:58Z
false,true,true,true,"",Field,Gaoping,2018-09-28T13:10:14Z
false,false,false,true,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Field,Amagbagan,2018-05-05T03:51:35Z
true,true,false,false,"",Office,Drobin,2018-10-13T03:20:43Z
false,false,true,true,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Field,Jawl al Majma‘,2018-06-25T06:48:52Z
true,false,false,false,"",Field,Santa María de Ipire,2018-11-27T03:06:46Z
true,false,false,false,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Office,Sobreira,2019-02-04T16:40:52Z
true,true,false,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Office,Saint-Herblain,2018-09-28T19:59:41Z
false,false,false,false,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Field,Tsuruga,2019-02-05T04:26:58Z
true,true,true,true,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Office,Staraya Stanitsa,2018-04-10T03:00:54Z
false,false,true,true,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Office,Baun,2018-08-01T22:24:18Z
false,true,true,true,"",Office,Xiwu,2018-09-17T14:16:56Z
true,false,false,true,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Office,Segong,2018-05-21T16:07:54Z
false,false,true,true,"",Field,Udënisht,2018-10-24T14:20:12Z
true,false,false,false,"",Field,Shengshan,2019-01-11T04:20:10Z
true,true,false,true,"",Office,Lescar,2018-06-10T14:56:28Z
false,true,false,false,"",Office,Ipiaú,2018-11-10T00:53:28Z
false,false,false,true,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Field,Sandaohezi,2018-07-25T22:06:21Z
false,false,false,true,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Office,Cisalakdesa,2018-03-11T13:50:24Z
false,true,true,false,"",Field,Vyerkhnyadzvinsk,2018-10-23T05:59:50Z
false,false,true,true,"",Office,Kalandagan,2019-02-01T06:00:03Z
true,false,false,true,"",Office,Qaţanah,2018-08-17T05:55:41Z
true,true,false,false,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Field,Likhobory,2018-03-01T21:51:54Z
true,true,false,true,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Office,Erjia,2018-03-13T23:43:01Z
true,false,false,true,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Field,Yaodian,2018-04-24T03:20:42Z
true,true,true,true,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Office,Lendangara Satu,2018-02-26T17:46:34Z
true,true,false,false,"",Field,Romba,2018-11-30T17:17:59Z
true,false,true,false,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Office,Santa Teresa First,2018-03-04T01:34:15Z
true,true,true,false,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Office,Mełgiew,2018-10-29T07:46:29Z
